Date,Location,Suspected_Target,People_Killed,Min_Civilians,Max_Civilians,Latitude,Longitude,Country
2016-04-07,"Mohammd Ghous, Ab Band, Ghazni, Afghanistan",0,6,6,17,15.217020,70.508644,Afghanistan 
2010-05-28,"Ador, Khogyani, Nangarhar, Afghanistan",0,6,5,25,13.988914,65.737174,Pakistan
2017-09-09,"Jawf-Mareb border, Yemen",2,9,1,6,2.046934,70.145580,Afghanistan 
2012-07-04,"Al Sirim area, Marib, Yemen",0,1,4,5,14.061619,70.433361,Afghanistan
2010-01-29,"Shawal, North Waziristan, Pakistan",0,4,6,2,31.363647,70.621679,Afghanistan 
2016-10-23,"Dara I Pech, Kunar, Afghanistan",0,5,24,2,0.491919,42.778436,Afghanistan
2011-03-14,"Jaar, Abyan, Yemen",0,5,3,39,32.666404,71.127398,Yemen
2018-10-09,"Azzan, Shabwa, Yemen",0,9,8,2,31.788010,70.667034,Yemen
2017-03-04,"Gurgorai, Haska Mena, Nangarhar, Afghanistan",0,13,5,1,33.150049,69.597624,Pakistan
2012-08-31,"Nangarhar, Afghanistan",0,3,9,2,34.689768,69.158119,Afghanistan 
2015-01-03,"Dhook Pir Bagh, South Waziristan, Pakistan",0,8,10,22,31.132511,45.577100,Afghanistan 
2018-05-09,"Awdhegle, Lower Shabelle, Somalia",0,5,5,33,13.057841,70.954680,Afghanistan 
2018-10-16,"Khawashi Khel, near Wana, South Waziristan, Pakistan",0,11,23,1,31.363647,44.247901,Pakistan
2010-06-26,"Mamand Margha, Achin, Nangarhar, Afghanistan",0,3,12,1,15.470031,49.380547,Somalia
2015-06-27,"Shahjoy, Zabul, Afghanistan",0,6,7,2,16.714858,70.775759,Pakistan
2011-12-22,"Hazrat Sultan, Kunduz city, Kunduz, Afghanistan",0,10,8,3,13.634341,70.433361,Pakistan
2017-11-21,Bosasso,0,14,7,5,32.434829,70.145580,Afghanistan 
2018-10-24,"Yakhchal area, Greshk, Helmand, Afghanistan",0,15,7,16,33.638947,46.914966,Yemen
2018-10-28,"Shabwa, Yemen",0,4,2,2,32.954822,46.516261,Somalia
2015-01-16,"Nangarhar, Afghanistan",0,6,1,2,32.311872,68.572411,Somalia
